variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=113  Seed=111  Result=0.00103238  Average=0.13178754  Best=0.00020361  BestSeed=88  Time=0.3705 Seconds  Run Time=48.8449 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=114  Seed=113  Result=0.00091839  Average=0.13063957  Best=0.00020361  BestSeed=88  Time=0.3704 Seconds  Run Time=49.2033 Seconds  TestError=0.00000167
FIRESTARTER_RANDOM: Generation=115  Seed=116  Result=0.00095015  Average=0.12951182  Best=0.00020361  BestSeed=88  Time=0.3709 Seconds  Run Time=49.6386 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=116  Seed=114  Result=0.00235856  Average=0.12841567  Best=0.00020361  BestSeed=88  Time=0.3684 Seconds  Run Time=49.7130 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=117  Seed=115  Result=0.00096232  Average=0.12732632  Best=0.00020361  BestSeed=88  Time=0.3697 Seconds  Run Time=50.2313 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=118  Seed=117  Result=0.00016302  Average=0.12624867  Best=0.00016302  BestSeed=117  Time=0.3704 Seconds  Run Time=50.7130 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=119  Seed=118  Result=0.00065774  Average=0.12519330  Best=0.00016302  BestSeed=117  Time=0.3675 Seconds  Run Time=50.7136 Seconds  TestError=0.00000001
FIRESTARTER_RANDOM: Generation=120  Seed=122  Result=0.01219752  Average=0.12425166  Best=0.00016302  BestSeed=117  Time=0.3680 Seconds  Run Time=51.1400 Seconds  TestError=0.00000000
FIRESTARTER_RANDOM: Generation=121  Seed=120  Result=0.00162590  Average=0.12323823  Best=0.00016302  BestSeed=117  Time=0.3688 Seconds  Run Time=51.5995 Seconds  TestError=0.00000024
FIRESTARTER_RANDOM: Generation=122  Seed=119  Result=1.48324537  Average=0.13438582  Best=0.00016302  BestSeed=117  Time=0.3658 Seconds  Run Time=51.6070 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=123  Seed=121  Result=0.00295794  Average=0.13331731  Best=0.00016302  BestSeed=117  Time=0.3674 Seconds  Run Time=52.1734 Seconds  TestError=0.00000376
FIRESTARTER_RANDOM: Generation=124  Seed=123  Result=0.00171405  Average=0.13225600  Best=0.00016302  BestSeed=117  Time=0.3676 Seconds  Run Time=52.5619 Seconds  TestError=0.00000232
FIRESTARTER_RANDOM: Generation=125  Seed=124  Result=0.00088704  Average=0.13120505  Best=0.00016302  BestSeed=117  Time=0.3651 Seconds  Run Time=52.6205 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=126  Seed=126  Result=0.00302306  Average=0.13018773  Best=0.00016302  BestSeed=117  Time=0.3657 Seconds  Run Time=53.0631 Seconds  TestError=0.00000003
FIRESTARTER_RANDOM: Generation=127  Seed=125  Result=0.00838125  Average=0.12922862  Best=0.00016302  BestSeed=117  Time=0.3664 Seconds  Run Time=53.5147 Seconds  TestError=0.00000012
FIRESTARTER_RANDOM: Generation=128  Seed=128  Result=0.00053757  Average=0.12822323  Best=0.00016302  BestSeed=117  Time=0.3637 Seconds  Run Time=53.5288 Seconds  TestError=0.00000072
FIRESTARTER_RANDOM: Generation=129  Seed=129  Result=0.00068365  Average=0.12723453  Best=0.00016302  BestSeed=117  Time=0.3655 Seconds  Run Time=54.1254 Seconds  TestError=0.00000004
