CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 32
opcodes = 2

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
units = 1
processes = 0
iterations = 64
candidates = 16
generations = 100
precision = 0
attempts = 32
seed = 0
scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=2  Generation=21  Age=13  Result=0.00165597  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3587 Seconds  Run Time=45.9921 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=22  Age=14  Result=0.00106382  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.2591 Seconds  Run Time=46.2513 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=23  Age=15  Result=0.00152540  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3608 Seconds  Run Time=46.6121 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=24  Age=16  Result=0.01634622  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3589 Seconds  Run Time=46.9710 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=25  Age=17  Result=0.00079715  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3512 Seconds  Run Time=47.3222 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=26  Age=18  Result=0.04749131  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3569 Seconds  Run Time=47.6791 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=27  Age=19  Result=0.00113553  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3637 Seconds  Run Time=48.0428 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=28  Age=20  Result=0.00082383  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3565 Seconds  Run Time=48.3993 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=29  Age=21  Result=0.00075781  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3629 Seconds  Run Time=48.7622 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=2  Generation=30  Age=22  Result=0.00187647  Best=0.00071597  BestSeed=2  BestGen=8  Time=0.3536 Seconds  Run Time=49.1158 Seconds  TestError=0.00000012
