instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 17408;
iterations = 64;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00193238  Result=0.00193238  Best=0.00193238  Seed=C0A94D52  ResultHash=C81C  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00193238  Result=0.00194860  Best=0.00193238  Seed=C0A94DB6  ResultHash=93F7  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00188375  Result=0.00188375  Best=0.00188375  Seed=C0A94E1A  ResultHash=C955  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00180390  Result=0.00180390  Best=0.00180390  Seed=C0A94E7E  ResultHash=F18B  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00178078  Result=0.00178078  Best=0.00178078  Seed=C0A94EE2  ResultHash=7F89  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.00170283  Result=0.00170283  Best=0.00170283  Seed=C0A94F46  ResultHash=E310  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.00160921  Result=0.00160921  Best=0.00160921  Seed=C0A94FAA  ResultHash=9BCC  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.00159502  Result=0.00159502  Best=0.00159502  Seed=C0A9500E  ResultHash=7175  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.00156260  Result=0.00156260  Best=0.00156260  Seed=C0A95072  ResultHash=4397  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.00148809  Result=0.00148809  Best=0.00148809  Seed=C0A950D6  ResultHash=93D0  ProgramHash=C47F
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.00148410  Result=0.00148410  Best=0.00148410  Seed=C0A9513A  ResultHash=2C77  ProgramHash=C47F
