instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 64;
generations = 10;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.00123399  Result=0.00126588  Best=0.00123399  Seed=C0A95C2A  ResultHash=C139  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  48  Best=0.00123399  Result=0.00125051  Best=0.00123399  Seed=C0A95C8E  ResultHash=E509  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  49  Best=0.00122881  Result=0.00122881  Best=0.00122881  Seed=C0A95CF2  ResultHash=DEA0  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  50  Best=0.00118208  Result=0.00118208  Best=0.00118208  Seed=C0A95D56  ResultHash=0474  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  51  Best=0.00118208  Result=0.00120819  Best=0.00118208  Seed=C0A95DBA  ResultHash=85D5  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  52  Best=0.00117505  Result=0.00117505  Best=0.00117505  Seed=C0A95E1E  ResultHash=8351  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  53  Best=0.00117505  Result=0.00117505  Best=0.00117505  Seed=C0A95E82  ResultHash=47DB  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  54  Best=0.00115675  Result=0.00115675  Best=0.00115675  Seed=C0A95EE6  ResultHash=9081  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  55  Best=0.00111850  Result=0.00111850  Best=0.00111850  Seed=C0A95F4A  ResultHash=2D48  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  56  Best=0.00109389  Result=0.00109389  Best=0.00109389  Seed=C0A95FAE  ResultHash=DB0D  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  57  Best=0.00105989  Result=0.00105989  Best=0.00105989  Seed=C0A96012  ResultHash=2DDE  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.00105831  Result=0.00105831  Best=0.00105831  Seed=C0A96076  ResultHash=34F9  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.00105831  Result=0.00106474  Best=0.00105831  Seed=C0A960DA  ResultHash=03C7  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.00105447  Result=0.00105447  Best=0.00105447  Seed=C0A9613E  ResultHash=D85E  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.00105333  Result=0.00105333  Best=0.00105333  Seed=C0A961A2  ResultHash=A3A5  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.00105321  Result=0.00105321  Best=0.00105321  Seed=C0A96206  ResultHash=BB01  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.00104213  Result=0.00104213  Best=0.00104213  Seed=C0A9626A  ResultHash=E40F  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.00104213  Result=0.00104773  Best=0.00104213  Seed=C0A962CE  ResultHash=E944  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.00104213  Result=0.00106111  Best=0.00104213  Seed=C0A96332  ResultHash=9D5B  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.00104213  Result=0.00106660  Best=0.00104213  Seed=C0A96396  ResultHash=347D  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.00104213  Result=0.00107089  Best=0.00104213  Seed=C0A963FA  ResultHash=5FD2  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.00104213  Result=0.00104737  Best=0.00104213  Seed=C0A9645E  ResultHash=4176  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.00104213  Result=0.00105304  Best=0.00104213  Seed=C0A964C2  ResultHash=D33F  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.00102808  Result=0.00102808  Best=0.00102808  Seed=C0A96526  ResultHash=2CA3  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.00102808  Result=0.00104415  Best=0.00102808  Seed=C0A9658A  ResultHash=57BA  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.00102808  Result=0.00103447  Best=0.00102808  Seed=C0A965EE  ResultHash=C331  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.00101319  Result=0.00101319  Best=0.00101319  Seed=C0A96652  ResultHash=35E2  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.00101319  Result=0.00102234  Best=0.00101319  Seed=C0A966B6  ResultHash=0C74  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.00100613  Result=0.00100613  Best=0.00100613  Seed=C0A9671A  ResultHash=26E3  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.00098610  Result=0.00098610  Best=0.00098610  Seed=C0A9677E  ResultHash=E538  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.00098610  Result=0.00102091  Best=0.00098610  Seed=C0A967E2  ResultHash=17BC  ProgramHash=F3B8
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.00098610  Result=0.00100884  Best=0.00098610  Seed=C0A96846  ResultHash=5E71  ProgramHash=F3B8
