instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 69632;
iterations = 128;
generations = 3;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 106  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AAB  ResultHash=3E48  ProgramHash=A496
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 107  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AAE  ResultHash=F05F  ProgramHash=6D85
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 108  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AB1  ResultHash=2064  ProgramHash=DFEB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 109  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AB4  ResultHash=0BAF  ProgramHash=1EF7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 110  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AB7  ResultHash=2472  ProgramHash=9FB2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 111  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94ABA  ResultHash=1695  ProgramHash=0F28
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 112  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94ABD  ResultHash=1695  ProgramHash=1A96
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 113  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AC0  ResultHash=1695  ProgramHash=F7F9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 114  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AC3  ResultHash=2289  ProgramHash=EE34
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 115  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AC6  ResultHash=A5E9  ProgramHash=778B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 116  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94AC9  ResultHash=9B47  ProgramHash=E058
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 117  Best=0.01583624  Result=0.01583624  Best=0.01583624  Seed=C0A94ACC  ResultHash=9B47  ProgramHash=67FC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 118  Best=0.01568383  Result=0.01568383  Best=0.01568383  Seed=C0A94ACF  ResultHash=6671  ProgramHash=569D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 119  Best=0.01568383  Result=0.01570642  Best=0.01568383  Seed=C0A94AD2  ResultHash=19DE  ProgramHash=3564
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 120  Best=0.01568383  Result=0.01583624  Best=0.01568383  Seed=C0A94AD5  ResultHash=6FBC  ProgramHash=47CF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 121  Best=0.01568383  Result=0.01583624  Best=0.01568383  Seed=C0A94AD8  ResultHash=0707  ProgramHash=BF97
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 122  Best=0.01568383  Result=0.01583624  Best=0.01568383  Seed=C0A94ADB  ResultHash=0707  ProgramHash=6A62
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 123  Best=0.01511335  Result=0.01511335  Best=0.01511335  Seed=C0A94ADE  ResultHash=ADE2  ProgramHash=9C8B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 124  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94AE1  ResultHash=9586  ProgramHash=DED5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 125  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94AE4  ResultHash=AE5A  ProgramHash=CF0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 126  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94AE7  ResultHash=B9C9  ProgramHash=CF0F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 127  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94AEA  ResultHash=7196  ProgramHash=2297
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 128  Best=0.01511335  Result=0.01583624  Best=0.01511335  Seed=C0A94AED  ResultHash=046F  ProgramHash=EC0A
