CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 1
samples = 15
instructions = 32
registers = 30
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f
evolveTarget = 0.000001f

mode = FIRESTARTER_EVOLVE_GPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
streams = 1
units = 1
states = 1
generations = 0
population = 8192
iterations = 64
passes = 500
candidates = 16
attempts = 0
optimize = 1

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 51  Age=  3  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=1612  EvolveAge2=15509  Best=0.00006032   BestAge=34  Time=1.1 Seconds  Run Time=1992.0 Seconds
FIRESTARTER_OPTIMIZE_GPU: Seed=0  Test=13  Optimize=0  Generation= 51 *Result=0.00018221  Best=0.00018221   Time=2.3 Seconds  Run Time=1994.3 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 52  Age=  4  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=2112  EvolveAge2=15509  Best=0.00006032   BestAge=35  Time=1.1 Seconds  Run Time=1995.3 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 53  Age=  5  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=2612  EvolveAge2=15509  Best=0.00006032   BestAge=36  Time=1.1 Seconds  Run Time=1996.4 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 54  Age=  6  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=3112  EvolveAge2=15509  Best=0.00006032   BestAge=37  Time=1.1 Seconds  Run Time=1997.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 55  Age=  7  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=3612  EvolveAge2=15509  Best=0.00006032   BestAge=38  Time=1.1 Seconds  Run Time=1998.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 56  Age=  8  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=4112  EvolveAge2=15509  Best=0.00006032   BestAge=39  Time=1.1 Seconds  Run Time=1999.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 57  Age=  9  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=4612  EvolveAge2=15509  Best=0.00006032   BestAge=40  Time=1.1 Seconds  Run Time=2000.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 58  Age= 10  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=5112  EvolveAge2=15509  Best=0.00006032   BestAge=41  Time=1.1 Seconds  Run Time=2001.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 59  Age= 11  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=5612  EvolveAge2=15509  Best=0.00006032   BestAge=42  Time=1.1 Seconds  Run Time=2002.9 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 60  Age= 12  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=6112  EvolveAge2=15509  Best=0.00006032   BestAge=43  Time=1.1 Seconds  Run Time=2004.0 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 61  Age= 13  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=6612  EvolveAge2=15509  Best=0.00006032   BestAge=44  Time=1.1 Seconds  Run Time=2005.0 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 62  Age= 14  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=7112  EvolveAge2=15509  Best=0.00006032   BestAge=45  Time=1.1 Seconds  Run Time=2006.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 63  Age= 15  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=7612  EvolveAge2=15509  Best=0.00006032   BestAge=46  Time=1.1 Seconds  Run Time=2007.2 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 64  Age= 16  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=8112  EvolveAge2=15509  Best=0.00006032   BestAge=47  Time=1.1 Seconds  Run Time=2008.3 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 65  Age= 17  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=8612  EvolveAge2=15509  Best=0.00006032   BestAge=48  Time=1.1 Seconds  Run Time=2009.3 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 66  Age= 18  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=9112  EvolveAge2=15509  Best=0.00006032   BestAge=49  Time=1.1 Seconds  Run Time=2010.4 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 67  Age= 19  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=9612  EvolveAge2=15509  Best=0.00006032   BestAge=50  Time=1.1 Seconds  Run Time=2011.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 68  Age= 20  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=10112  EvolveAge2=15509  Best=0.00006032   BestAge=51  Time=1.1 Seconds  Run Time=2012.5 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 69  Age= 21  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=10612  EvolveAge2=15509  Best=0.00006032   BestAge=52  Time=1.1 Seconds  Run Time=2013.6 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 70  Age= 22  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=11112  EvolveAge2=15509  Best=0.00006032   BestAge=53  Time=1.1 Seconds  Run Time=2014.7 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 71  Age= 23  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=11612  EvolveAge2=15509  Best=0.00006032   BestAge=54  Time=1.1 Seconds  Run Time=2015.8 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 72  Age= 24  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=12112  EvolveAge2=15509  Best=0.00006032   BestAge=55  Time=1.1 Seconds  Run Time=2016.9 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 73  Age= 25  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=12612  EvolveAge2=15509  Best=0.00006032   BestAge=56  Time=1.1 Seconds  Run Time=2017.9 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 74  Age= 26  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=13112  EvolveAge2=15509  Best=0.00006032   BestAge=57  Time=1.1 Seconds  Run Time=2019.0 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 75  Age= 27  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=13612  EvolveAge2=15509  Best=0.00006032   BestAge=58  Time=1.1 Seconds  Run Time=2020.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 76  Age= 28  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=14112  EvolveAge2=15509  Best=0.00006032   BestAge=59  Time=1.1 Seconds  Run Time=2021.1 Seconds
FIRESTARTER_EVOLVE_GPU: Seed=0  Test=13  Generation= 77  Age= 29  Evolution= 0  Weight=0.00000000  Old Result=0.00024974  Bad Result=0.00024974  Index=5872  EvolveAge1=14612  EvolveAge2=15509  Best=0.00006032   BestAge=60  Time=1.1 Seconds  Run Time=2022.2 Seconds
