variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.04908478  Result=0.09106326  Best=0.04908478  Seed=5FA82BFE  ResultHash=4D89  ProgramHash=8F25
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.04908478  Result=0.06482475  Best=0.04908478  Seed=5FA82C03  ResultHash=3AE2  ProgramHash=DDDE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  69  Best=0.04908478  Result=0.06477845  Best=0.04908478  Seed=5FA82C08  ResultHash=2CA7  ProgramHash=DDDE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  70  Best=0.04908478  Result=0.08636960  Best=0.04908478  Seed=5FA82C0D  ResultHash=0736  ProgramHash=2577
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  71  Best=0.04908478  Result=0.09166461  Best=0.04908478  Seed=5FA82C12  ResultHash=5D94  ProgramHash=4259
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  72  Best=0.04908478  Result=0.10504639  Best=0.04908478  Seed=5FA82C17  ResultHash=852D  ProgramHash=5628
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  73  Best=0.04908478  Result=0.19177490  Best=0.04908478  Seed=5FA82C1C  ResultHash=8771  ProgramHash=F81E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  74  Best=0.04908478  Result=0.12082958  Best=0.04908478  Seed=5FA82C21  ResultHash=D3A8  ProgramHash=6509
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  75  Best=0.04908478  Result=0.13918161  Best=0.04908478  Seed=5FA82C26  ResultHash=FFED  ProgramHash=6876
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  76  Best=0.04908478  Result=0.18583697  Best=0.04908478  Seed=5FA82C2B  ResultHash=1B39  ProgramHash=C251
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  77  Best=0.04908478  Result=0.15143073  Best=0.04908478  Seed=5FA82C30  ResultHash=FF56  ProgramHash=C92C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  78  Best=0.04908478  Result=0.13405186  Best=0.04908478  Seed=5FA82C35  ResultHash=931B  ProgramHash=8E4B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.00016403  Result=0.00016403  Best=0.00016403  Seed=C0A949CE  ResultHash=F299  ProgramHash=B59A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.00015950  Result=0.00015950  Best=0.00015950  Seed=C0A94A32  ResultHash=4937  ProgramHash=B59A
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.00004560  Result=0.00004560  Best=0.00004560  Seed=C0A94A96  ResultHash=10A9  ProgramHash=B59A
