variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1234;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  95  Best=0.00109630  Result=0.00205374  Best=0.00109630  Seed=4F2964FE  ResultHash=C0C3  ProgramHash=33C3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  96  Best=0.00109630  Result=0.00165129  Best=0.00109630  Seed=4F296503  ResultHash=62BD  ProgramHash=33C3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  97  Best=0.00109630  Result=0.00257060  Best=0.00109630  Seed=4F296508  ResultHash=ACD4  ProgramHash=B393
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  98  Best=0.00109630  Result=0.00189425  Best=0.00109630  Seed=4F29650D  ResultHash=C325  ProgramHash=C36B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  99  Best=0.00065374  Result=0.00065374  Best=0.00065374  Seed=4F296512  ResultHash=9FB6  ProgramHash=761C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 100  Best=0.00051367  Result=0.00051367  Best=0.00051367  Seed=4F296517  ResultHash=6327  ProgramHash=761C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 101  Best=0.00051367  Result=0.00203168  Best=0.00051367  Seed=4F29651C  ResultHash=1407  ProgramHash=3B1E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 102  Best=0.00051367  Result=0.00146127  Best=0.00051367  Seed=4F296521  ResultHash=5F12  ProgramHash=3B1E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 103  Best=0.00051367  Result=0.00085497  Best=0.00051367  Seed=4F296526  ResultHash=F663  ProgramHash=EFAA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 104  Best=0.00051367  Result=0.00107380  Best=0.00051367  Seed=4F29652B  ResultHash=086D  ProgramHash=CBF6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 105  Best=0.00051367  Result=0.00144434  Best=0.00051367  Seed=4F296530  ResultHash=2C0C  ProgramHash=7C5C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 106  Best=0.00051367  Result=0.00153619  Best=0.00051367  Seed=4F296535  ResultHash=47A0  ProgramHash=7DF9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 107  Best=0.00051367  Result=0.00154412  Best=0.00051367  Seed=4F29653A  ResultHash=3A37  ProgramHash=9E7F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 108  Best=0.00051367  Result=0.00155642  Best=0.00051367  Seed=4F29653F  ResultHash=5463  ProgramHash=6A72
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 109  Best=0.00051367  Result=0.00085187  Best=0.00051367  Seed=4F296544  ResultHash=7287  ProgramHash=19B8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 110  Best=0.00051367  Result=0.00105393  Best=0.00051367  Seed=4F296549  ResultHash=F224  ProgramHash=C382
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 111  Best=0.00051367  Result=0.00058985  Best=0.00051367  Seed=4F29654E  ResultHash=B594  ProgramHash=730F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 112  Best=0.00051367  Result=0.00108523  Best=0.00051367  Seed=4F296553  ResultHash=5191  ProgramHash=6522
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 113  Best=0.00051367  Result=0.00072157  Best=0.00051367  Seed=4F296558  ResultHash=2F07  ProgramHash=6522
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 114  Best=0.00051367  Result=0.00076902  Best=0.00051367  Seed=4F29655D  ResultHash=2B05  ProgramHash=8373
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 115  Best=0.00051367  Result=0.00124588  Best=0.00051367  Seed=4F296562  ResultHash=2A21  ProgramHash=B572
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 116  Best=0.00051367  Result=0.00112593  Best=0.00051367  Seed=4F296567  ResultHash=9E41  ProgramHash=0FDF
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 117  Best=0.00051367  Result=0.00129652  Best=0.00051367  Seed=4F29656C  ResultHash=03B2  ProgramHash=95DB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 118  Best=0.00051367  Result=0.00083891  Best=0.00051367  Seed=4F296571  ResultHash=CB14  ProgramHash=95DB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 119  Best=0.00051367  Result=0.00111645  Best=0.00051367  Seed=4F296576  ResultHash=4EB7  ProgramHash=9A05
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 120  Best=0.00051367  Result=0.00212610  Best=0.00051367  Seed=4F29657B  ResultHash=F14A  ProgramHash=6847
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 121  Best=0.00051367  Result=0.00233603  Best=0.00051367  Seed=4F296580  ResultHash=CEB8  ProgramHash=34D4
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 122  Best=0.00051367  Result=0.00158727  Best=0.00051367  Seed=4F296585  ResultHash=64AA  ProgramHash=ADD2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 123  Best=0.00051367  Result=0.00080407  Best=0.00051367  Seed=4F29658A  ResultHash=6382  ProgramHash=5740
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 124  Best=0.00051367  Result=0.00060755  Best=0.00051367  Seed=4F29658F  ResultHash=225A  ProgramHash=FF4D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 125  Best=0.00051367  Result=0.00074959  Best=0.00051367  Seed=4F296594  ResultHash=AAE7  ProgramHash=FF4D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 126  Best=0.00051367  Result=0.00057518  Best=0.00051367  Seed=4F296599  ResultHash=70B8  ProgramHash=FF4D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 127  Best=0.00051367  Result=0.00067443  Best=0.00051367  Seed=4F29659E  ResultHash=C233  ProgramHash=DC33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 128  Best=0.00051367  Result=0.00055528  Best=0.00051367  Seed=4F2965A3  ResultHash=765B  ProgramHash=4656
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 129  Best=0.00051367  Result=0.00054836  Best=0.00051367  Seed=4F2965A8  ResultHash=18FC  ProgramHash=4656
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 130  Best=0.00051367  Result=0.00068235  Best=0.00051367  Seed=4F2965AD  ResultHash=5DC1  ProgramHash=091B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation: 131  Best=0.00048006  Result=0.00048006  Best=0.00048006  Seed=4F2965B2  ResultHash=FD83  ProgramHash=6AFC
