CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_EVOLVE
evolveSeed = 0
optimizeSeed = 0
tests = 1
seeds = 64
units = 4
population = 278528
iterations = 64
optimizations = 500
precision = 0
candidates = 16
attempts = 64

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 7  Id=28  CopyId=15  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00125490 >New Result=0.00105262  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 8  Id=26  CopyId=54  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00168060 >New Result=0.00059754  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index= 9  Id=21  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00169325 >New Result=0.00067689  Best=0.00022459  BestError=0.00000007  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=10  Id=27  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00178034 *New Result=0.00015789  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=11  Id=16  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00178194 >New Result=0.00048428  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=12  Id= 4  CopyId=27  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00215185 >New Result=0.00065637  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=13  Id=46  CopyId=21  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00231737 >New Result=0.00058782  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=14  Id=13  CopyId=13  Generation=  1  Age=  1  Evolution= 1  Old Result=0.00258136  Bad Result=0.00331205  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=15  Id=35  CopyId=28  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00285875 >New Result=0.00258011  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=16  Id= 9  CopyId=54  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00310680 >New Result=0.00109658  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=17  Id= 2  CopyId=21  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00330067 >New Result=0.00117227  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=18  Id=48  CopyId=28  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00346828 >New Result=0.00199725  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=19  Id=50  CopyId=51  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00352669 >New Result=0.00144219  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=20  Id=34  CopyId= 9  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00394553 >New Result=0.00289983  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=21  Id= 5  CopyId= 4  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00544007 >New Result=0.00229505  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=22  Id=55  CopyId= 4  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00633493 >New Result=0.00180912  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=23  Id=20  CopyId=51  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00926435 >New Result=0.00116852  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=24  Id= 1  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.00964499 >New Result=0.00048542  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=25  Id=31  CopyId=59  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01278919 >New Result=0.00060272  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=26  Id= 3  CopyId= 9  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01286328 >New Result=0.00140059  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=27  Id=12  CopyId=48  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01467156 >New Result=0.00175726  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=28  Id=24  CopyId=27  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01606721 >New Result=0.00110972  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=29  Id=33  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01843905 >New Result=0.00191343  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=30  Id=56  CopyId=62  Generation=  1  Age=  0  Evolution= 2  Old Result=0.01987129 >New Result=0.00016766  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=31  Id=61  CopyId=50  Generation=  1  Age=  0  Evolution= 2  Old Result=0.02178927 >New Result=0.00057626  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=32  Id=22  CopyId=21  Generation=  1  Age=  0  Evolution= 2  Old Result=0.03586465 >New Result=0.00179391  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=33  Id=19  CopyId=46  Generation=  1  Age=  0  Evolution= 2  Old Result=0.06257463 >New Result=0.00242653  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=34  Id=47  CopyId=37  Generation=  1  Age=  0  Evolution= 2  Old Result=0.08691741 >New Result=0.00026268  Best=0.00015789  BestError=0.00000119  BestAge=0
FIRESTARTER_EVOLVE: Seed=0  Test= 8  Index=35  Id= 6  CopyId=28  Generation=  1  Age=  0  Evolution= 2  Old Result=0.10166979 >New Result=0.00396770  Best=0.00015789  BestError=0.00000119  BestAge=0
