variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_RANDOM;
units = 2;
processes = 6;
population = 69632;
iterations = 256;
candidates = 16;
generations = 100;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 10000;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_RANDOM: Generation=81  Seed=78  Result=0.00145507  Average=0.03819688  Best=0.00025827  BestSeed=8  Time=0.1741 Seconds  Run Time=19.5489 Seconds  TestError=5.62777710  V:0=0.00145507  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=82  Seed=83  Result=0.00102973  Average=0.03774362  Best=0.00025827  BestSeed=8  Time=0.1728 Seconds  Run Time=19.6160 Seconds  TestError=8.51675415  V:0=0.00102973  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=83  Seed=82  Result=0.00069857  Average=0.03729729  Best=0.00025827  BestSeed=8  Time=0.1727 Seconds  Run Time=19.7809 Seconds  TestError=8.51675415  V:0=0.00069857  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=84  Seed=84  Result=0.00146765  Average=0.03687075  Best=0.00025827  BestSeed=8  Time=0.1726 Seconds  Run Time=19.9437 Seconds  TestError=8.51675415  V:0=0.00146765  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=85  Seed=85  Result=0.00028616  Average=0.03644034  Best=0.00025827  BestSeed=8  Time=0.1726 Seconds  Run Time=20.1143 Seconds  TestError=8.51675415  V:0=0.00028616  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=86  Seed=81  Result=0.97492790  Average=0.04735299  Best=0.00025827  BestSeed=8  Time=0.1707 Seconds  Run Time=20.1208 Seconds  TestError=8.51675415  V:0=0.97492790  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=87  Seed=87  Result=0.00234669  Average=0.04683568  Best=0.00025827  BestSeed=8  Time=0.1706 Seconds  Run Time=20.2845 Seconds  TestError=8.51675415  V:0=0.00234669  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=88  Seed=89  Result=0.11729018  Average=0.04763629  Best=0.00025827  BestSeed=8  Time=0.1703 Seconds  Run Time=20.4312 Seconds  TestError=8.51675415  V:0=0.11729018  V:1=10.00000000  V:2=10.00000000
FIRESTARTER_RANDOM: Generation=89  Seed=88  Result=0.00013486  Average=0.04710257  Best=0.00013486  BestSeed=88  Time=0.1735 Seconds  Run Time=20.9199 Seconds  TestError=0.00000155  V:0=0.00006104  V:1=0.00001419  V:2=0.00013486
FIRESTARTER_RANDOM: Generation=90  Seed=90  Result=0.00033236  Average=0.04658290  Best=0.00013486  BestSeed=88  Time=0.1733 Seconds  Run Time=21.0406 Seconds  TestError=69.97859192  V:0=0.00033236  V:1=10.00000000  V:2=10.00000000
