variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 4321;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.00174415  Result=0.00174415  Best=0.00174415  Seed=C0A94B5E  ResultHash=87EF  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.00168796  Result=0.00168796  Best=0.00168796  Seed=C0A94BC2  ResultHash=3089  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.00167082  Result=0.00167082  Best=0.00167082  Seed=C0A94C26  ResultHash=57A7  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.00167082  Result=0.00170279  Best=0.00167082  Seed=C0A94C8A  ResultHash=9A0B  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.00167082  Result=0.00168741  Best=0.00167082  Seed=C0A94CEE  ResultHash=1500  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.00167082  Result=0.00169525  Best=0.00167082  Seed=C0A94D52  ResultHash=FCD1  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.00167082  Result=0.00168711  Best=0.00167082  Seed=C0A94DB6  ResultHash=3A5D  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.00167082  Result=0.00168276  Best=0.00167082  Seed=C0A94E1A  ResultHash=87D9  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.00167082  Result=0.00168343  Best=0.00167082  Seed=C0A94E7E  ResultHash=64C2  ProgramHash=404B
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.00167082  Result=0.00168502  Best=0.00167082  Seed=C0A94EE2  ResultHash=9508  ProgramHash=404B
