CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=15  Generation=1  Age=0  Evolution=1  Result=0.00340855  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7476 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=16  Generation=1  Age=0  Evolution=1  Result=0.00358844  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7477 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=17  Generation=1  Age=0  Evolution=1  Result=0.00374138  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7479 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=18  Generation=1  Age=0  Evolution=1  Result=0.00469720  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7481 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=19  Generation=1  Age=0  Evolution=1  Result=0.00485724  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7483 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=20  Generation=1  Age=0  Evolution=1  Result=0.00515604  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7485 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=21  Generation=1  Age=0  Evolution=1  Result=0.00519830  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7487 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=22  Generation=1  Age=0  Evolution=1  Result=0.00632834  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7489 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=23  Generation=1  Age=0  Evolution=1  Result=0.00895686  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7492 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=24  Generation=1  Age=0  Evolution=1  Result=0.00974309  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7494 Seconds  TestError=0.00000090
FIRESTARTER_REVOLVE: Seed=0  Test=8  Index=25  Generation=1  Age=0  Evolution=1  Result=0.00985682  Best=0.00016606  BestSeed=0  BestGen=1  Time=0.0001 Seconds  Run Time=4630.7496 Seconds  TestError=0.00000090
