CUDA devices = 1
Device 0: NVIDIA GeForce RTX 5090

variations = 3
instructions = 32
registers = 30
opcodes = 3

targetMin = 0.000000f
targetMax = 6.283185f
target = 0.000001f

mode = FIRESTARTER_EVOLVE_CPU
evolveSeed = 0
optimizeSeed = 0
tests = 16
units = 8
states = 16
population = 348160
generations = 0
passes = 512
samples = 15
iterations = 64
candidates = 0
optimize = 1

scale = 0.300000f
startScale = 2.500000f
startResult = 10.000000f


FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   2  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.07451279  Best=0.07451279 BestError=0.06425745  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   5  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 *New Result=0.00036490  Best=0.00036490 BestError=0.00035849  Time=   7.7  Run Time=   8.0
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   6  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00236094  Best=0.00036490 BestError=0.00035849  Time=   7.8  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   4  Id=   4  Generation=  0  Age=  1  Evolution= 0  Weight=0.00000000  Old Result=10.00000000 >New Result=0.00112707  Best=0.00036490 BestError=0.00035849  Time=   7.9  Run Time=   8.2
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   8  Id=   3  Generation= 21  Age=  9  Evolution= 3  Weight=0.00032902  Old Result= 0.00001645  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   1.1  Run Time=  50.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   2  Id=   3  Generation= 31  Age=  3  Evolution= 4  Weight=0.00009298  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.4  Run Time=  53.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   6  Id=   3  Generation= 35  Age=  7  Evolution= 4  Weight=0.00010538  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.4  Run Time=  53.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   7  Id=   3  Generation= 36  Age=  8  Evolution= 4  Weight=0.00010848  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.5  Run Time=  53.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   3  Id=   3  Generation= 32  Age=  4  Evolution= 4  Weight=0.00009608  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.6  Run Time=  53.5
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   5  Id=   3  Generation= 34  Age=  6  Evolution= 4  Weight=0.00010228  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.5  Run Time=  53.6
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   1  Id=   3  Generation= 30  Age=  2  Evolution= 4  Weight=0.00008988  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.7  Run Time=  53.7
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  14  Id=   3  Generation= 43  Age= 15  Evolution= 4  Weight=0.00013018  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.5  Run Time=  56.3
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=   9  Id=   3  Generation= 38  Age= 10  Evolution= 4  Weight=0.00011468  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.5  Run Time=  56.4
FIRESTARTER_EVOLVE_CPU: Seed=0  Test=11  Index=  13  Id=   3  Generation= 42  Age= 14  Evolution= 4  Weight=0.00012708  Old Result= 0.00000310  Bad Result=10.00000000  Best=0.00000310 BestError=0.00001526  Time=   2.6  Run Time=  56.4
