instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  58  Best=0.00061947  Result=0.00061947  Best=0.00061947  Seed=C0A96076  ResultHash=8AA1  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  59  Best=0.00061655  Result=0.00061655  Best=0.00061655  Seed=C0A960DA  ResultHash=E3A5  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  60  Best=0.00061655  Result=0.00061712  Best=0.00061655  Seed=C0A9613E  ResultHash=E86B  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  61  Best=0.00061649  Result=0.00061649  Best=0.00061649  Seed=C0A961A2  ResultHash=9FCA  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  62  Best=0.00061557  Result=0.00061557  Best=0.00061557  Seed=C0A96206  ResultHash=70F4  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  63  Best=0.00061557  Result=0.00061750  Best=0.00061557  Seed=C0A9626A  ResultHash=EBBA  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  64  Best=0.00061393  Result=0.00061393  Best=0.00061393  Seed=C0A962CE  ResultHash=C491  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  65  Best=0.00061393  Result=0.00061619  Best=0.00061393  Seed=C0A96332  ResultHash=80CF  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  66  Best=0.00061393  Result=0.00061572  Best=0.00061393  Seed=C0A96396  ResultHash=A038  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  67  Best=0.00061393  Result=0.00061691  Best=0.00061393  Seed=C0A963FA  ResultHash=CA2A  ProgramHash=1187
FIRESTARTER_OPTIMIZE:FIRESTARTER_EVOLVE_BEST  Generation:  68  Best=0.00061393  Result=0.00061584  Best=0.00061393  Seed=C0A9645E  ResultHash=E4AB  ProgramHash=1187
